text,path,num_frames,width,height,trajectory_maps_path,videoid,mask_start_index,mask_end_index,box_path
,/datadrive2/MOSE_release/train/JPEGImages/001ca3cb,36,1920,1080,/datadrive2/MOSE_release/train/Annotations/001ca3cb,001ca3cb,0,35,/datadrive2/MOSE_release/train/Boxes/001ca3cb
,/datadrive2/MOSE_release/train/JPEGImages/002b4dce,120,1920,1080,/datadrive2/MOSE_release/train/Annotations/002b4dce,002b4dce,0,119,/datadrive2/MOSE_release/train/Boxes/002b4dce
,/datadrive2/MOSE_release/train/JPEGImages/00501424,45,640,332,/datadrive2/MOSE_release/train/Annotations/00501424,00501424,0,44,/datadrive2/MOSE_release/train/Boxes/00501424
,/datadrive2/MOSE_release/train/JPEGImages/006e6b64,65,1920,994,/datadrive2/MOSE_release/train/Annotations/006e6b64,006e6b64,0,64,/datadrive2/MOSE_release/train/Boxes/006e6b64
,/datadrive2/MOSE_release/train/JPEGImages/009acc1a,3,1280,720,/datadrive2/MOSE_release/train/Annotations/009acc1a,009acc1a,0,2,/datadrive2/MOSE_release/train/Boxes/009acc1a
,/datadrive2/MOSE_release/train/JPEGImages/00aec1e5,6,544,315,/datadrive2/MOSE_release/train/Annotations/00aec1e5,00aec1e5,0,5,/datadrive2/MOSE_release/train/Boxes/00aec1e5
,/datadrive2/MOSE_release/train/JPEGImages/00e92ab4,34,960,480,/datadrive2/MOSE_release/train/Annotations/00e92ab4,00e92ab4,0,33,/datadrive2/MOSE_release/train/Boxes/00e92ab4
,/datadrive2/MOSE_release/train/JPEGImages/013103f6,195,1536,1080,/datadrive2/MOSE_release/train/Annotations/013103f6,013103f6,0,194,/datadrive2/MOSE_release/train/Boxes/013103f6
,/datadrive2/MOSE_release/train/JPEGImages/0165667b,86,1920,1080,/datadrive2/MOSE_release/train/Annotations/0165667b,0165667b,0,85,/datadrive2/MOSE_release/train/Boxes/0165667b
,/datadrive2/MOSE_release/train/JPEGImages/01e3cec8,81,1280,720,/datadrive2/MOSE_release/train/Annotations/01e3cec8,01e3cec8,0,80,/datadrive2/MOSE_release/train/Boxes/01e3cec8
,/datadrive2/MOSE_release/train/JPEGImages/02221fb0,80,1280,720,/datadrive2/MOSE_release/train/Annotations/02221fb0,02221fb0,0,79,/datadrive2/MOSE_release/train/Boxes/02221fb0
,/datadrive2/MOSE_release/train/JPEGImages/028f6f64,36,960,544,/datadrive2/MOSE_release/train/Annotations/028f6f64,028f6f64,0,35,/datadrive2/MOSE_release/train/Boxes/028f6f64
,/datadrive2/MOSE_release/train/JPEGImages/02a236b4,112,1280,720,/datadrive2/MOSE_release/train/Annotations/02a236b4,02a236b4,0,111,/datadrive2/MOSE_release/train/Boxes/02a236b4
,/datadrive2/MOSE_release/train/JPEGImages/02b72b8d,67,960,479,/datadrive2/MOSE_release/train/Annotations/02b72b8d,02b72b8d,0,66,/datadrive2/MOSE_release/train/Boxes/02b72b8d
