text,path,num_frames,width,height,trajectory_maps_path,videoid,mask_start_index,mask_end_index,box_path
panda rolling around,/datadrive2/MeViS_release/train/JPEGImages/6084240e75fa,180,1680,1080,/datadrive2/MeViS_release/train/masks/6084240e75fa/0,6084240e75fa_0,0,179,/datadrive2/MeViS_release/train/boxes/6084240e75fa/0
panda climbing branch,/datadrive2/MeViS_release/train/JPEGImages/6084240e75fa,180,1680,1080,/datadrive2/MeViS_release/train/masks/6084240e75fa/1,6084240e75fa_1,0,179,/datadrive2/MeViS_release/train/boxes/6084240e75fa/1
panda falling off branch,/datadrive2/MeViS_release/train/JPEGImages/6084240e75fa,180,1680,1080,/datadrive2/MeViS_release/train/masks/6084240e75fa/2,6084240e75fa_2,0,179,/datadrive2/MeViS_release/train/boxes/6084240e75fa/2
panda climb up and then falls down,/datadrive2/MeViS_release/train/JPEGImages/6084240e75fa,180,1680,1080,/datadrive2/MeViS_release/train/masks/6084240e75fa/3,6084240e75fa_3,0,179,/datadrive2/MeViS_release/train/boxes/6084240e75fa/3
panda roll on the ground,/datadrive2/MeViS_release/train/JPEGImages/6084240e75fa,180,1680,1080,/datadrive2/MeViS_release/train/masks/6084240e75fa/4,6084240e75fa_4,0,179,/datadrive2/MeViS_release/train/boxes/6084240e75fa/4
panda climb to tree,/datadrive2/MeViS_release/train/JPEGImages/6084240e75fa,180,1680,1080,/datadrive2/MeViS_release/train/masks/6084240e75fa/5,6084240e75fa_5,0,179,/datadrive2/MeViS_release/train/boxes/6084240e75fa/5
panda fall down from the tree,/datadrive2/MeViS_release/train/JPEGImages/6084240e75fa,180,1680,1080,/datadrive2/MeViS_release/train/masks/6084240e75fa/6,6084240e75fa_6,0,179,/datadrive2/MeViS_release/train/boxes/6084240e75fa/6
a panda that successfully climbed to a higher place in a tree,/datadrive2/MeViS_release/train/JPEGImages/6084240e75fa,180,1680,1080,/datadrive2/MeViS_release/train/masks/6084240e75fa/7,6084240e75fa_7,0,179,/datadrive2/MeViS_release/train/boxes/6084240e75fa/7
four pandas,/datadrive2/MeViS_release/train/JPEGImages/6084240e75fa,180,1680,1080,/datadrive2/MeViS_release/train/masks/6084240e75fa/8,6084240e75fa_8,0,179,/datadrive2/MeViS_release/train/boxes/6084240e75fa/8
the panda climb up the tree,/datadrive2/MeViS_release/train/JPEGImages/6084240e75fa,180,1680,1080,/datadrive2/MeViS_release/train/masks/6084240e75fa/9,6084240e75fa_9,0,179,/datadrive2/MeViS_release/train/boxes/6084240e75fa/9
slide down from the tree,/datadrive2/MeViS_release/train/JPEGImages/6084240e75fa,180,1680,1080,/datadrive2/MeViS_release/train/masks/6084240e75fa/10,6084240e75fa_10,0,179,/datadrive2/MeViS_release/train/boxes/6084240e75fa/10
roll on the ground,/datadrive2/MeViS_release/train/JPEGImages/6084240e75fa,180,1680,1080,/datadrive2/MeViS_release/train/masks/6084240e75fa/11,6084240e75fa_11,0,179,/datadrive2/MeViS_release/train/boxes/6084240e75fa/11
the panda that successfully climbed up the tree.,/datadrive2/MeViS_release/train/JPEGImages/6084240e75fa,180,1680,1080,/datadrive2/MeViS_release/train/masks/6084240e75fa/12,6084240e75fa_12,0,179,/datadrive2/MeViS_release/train/boxes/6084240e75fa/12
the successful tree-climbing panda.,/datadrive2/MeViS_release/train/JPEGImages/6084240e75fa,180,1680,1080,/datadrive2/MeViS_release/train/masks/6084240e75fa/13,6084240e75fa_13,0,179,/datadrive2/MeViS_release/train/boxes/6084240e75fa/13
the bear that achieved climbing the tree.,/datadrive2/MeViS_release/train/JPEGImages/6084240e75fa,180,1680,1080,/datadrive2/MeViS_release/train/masks/6084240e75fa/14,6084240e75fa_14,0,179,/datadrive2/MeViS_release/train/boxes/6084240e75fa/14
the four pandas playing and frolicking.,/datadrive2/MeViS_release/train/JPEGImages/6084240e75fa,180,1680,1080,/datadrive2/MeViS_release/train/masks/6084240e75fa/15,6084240e75fa_15,0,179,/datadrive2/MeViS_release/train/boxes/6084240e75fa/15
