videoid,fid_value
scooter-board,284.2334576099452
color-run,355.2155225897052
kite-walk,75.91722395570307
dog-gooses,260.37312141307063
goat,214.51199144153856
walking,199.16278312922148
dance-jump,201.95519478359606
lady-running,217.92031695179952
hockey,164.85392160768401
snowboard,142.92022412453235
flamingo,68.21386631063487
dance-twirl,163.6721404703617
stunt,192.13771041860798
classic-car,174.53332609533823
hike,128.858821742066
gold-fish,59.865785411068565
horsejump-low,206.17324814832813
tuk-tuk,190.69888498280267
paragliding-launch,196.2023793458416
cows,65.36301107575147
soapbox,196.6304395692223
lindy-hop,135.37202359651099
upside-down,189.13593442642582
skate-park,183.45359362973784
car-turn,129.30842340457127
pigs,99.25605773703353
disc-jockey,203.21580569085216
train,177.09944071353385
lucia,185.13931105826566
breakdance-flare,272.8335209886412
mallard-water,102.90289626679107
breakdance,300.7645917271266
loading,251.73681733509306
bmx-bumps,184.17035099515593
longboard,191.1578860647428
schoolgirls,245.73786275491074
blackswan,34.61849840917145
dancing,220.6970969768886
paragliding,139.33032641727067
camel,26.405949375548982
bmx-trees,184.24854718604198
cat-girl,321.8649991250228
drift-straight,199.06412389653758
bear,132.9177081072767
mbike-trick,147.94619647923386
motocross-bumps,213.44231865406925
drift-chicane,177.9974680532275
boat,64.62053241017549
surf,87.69585276213746
bike-packing,198.7341582890353
dogs-scale,306.55622165003325
swing,176.93347475764594
scooter-gray,186.3167505437033
libby,282.81469660410255
drift-turn,293.3142428345118
varanus-cage,334.07617931262934
tennis,116.10386412932533
elephant,59.99485580019493
india,186.2278350696053
crossing,203.40409890970577
boxing-fisheye,170.4551018007386
koala,149.46231226860112
rhino,66.37821582267969
parkour,345.4930302720635
kid-football,197.28895858613495
mallard-fly,175.466603664557
bus,43.84951333527551
rallye,254.09372255185087
car-roundabout,101.97788766910114
dogs-jump,235.08725513791995
stroller,252.14545897404716
tractor-sand,168.76812658189027
dog,156.3355695375255
sheep,149.351649094825
horsejump-high,185.917360011646
