videoid,fid_value
scooter-board,258.2043419569814
color-run,331.4520802738971
kite-walk,80.71438347283313
dog-gooses,284.8982974162395
goat,304.4697067949527
walking,234.68671017651013
dance-jump,231.39759294868105
lady-running,203.90726568137796
hockey,133.08116507745638
snowboard,121.75826441247054
flamingo,231.76942037845475
dance-twirl,188.48389719344405
stunt,232.04449319676314
classic-car,177.21414806593597
hike,84.8257813312411
gold-fish,56.15514709809506
horsejump-low,189.67645013457454
tuk-tuk,211.7413372421747
paragliding-launch,191.29920416163841
cows,71.14791073061981
soapbox,196.0800017843937
lindy-hop,134.60874525481776
upside-down,170.0684969026081
skate-park,131.48713926235314
car-turn,84.73558972389354
pigs,128.90486311537254
disc-jockey,195.849292306606
train,225.50279507420214
lucia,207.0104245602105
breakdance-flare,258.83470206206835
mallard-water,103.35935255611732
breakdance,215.72883245620974
loading,178.41964278717805
bmx-bumps,215.82676163276864
longboard,211.93668306872337
miami-surf,155.93424955813126
schoolgirls,225.1203101617322
blackswan,34.25844017219212
dancing,188.33444724778872
paragliding,79.92371518484218
drone,322.16931449140577
camel,29.561257607351997
bmx-trees,274.9962449249183
cat-girl,326.4813494423335
drift-straight,217.6108905863652
bear,101.70761152228604
mbike-trick,170.70997414423752
motocross-bumps,185.96300018094192
drift-chicane,206.0417138655353
boat,53.4265626696917
surf,96.82303336738292
bike-packing,203.28272143106713
dogs-scale,241.01511284249466
swing,101.12751045637923
scooter-gray,214.70502938092278
libby,275.71242099756694
kite-surf,139.03484958860048
drift-turn,291.90032673647585
varanus-cage,344.35893181710446
tennis,200.21464169796332
elephant,46.36037668540612
india,195.6153810888622
crossing,131.0576965095495
boxing-fisheye,97.19890957440099
koala,151.33536120945016
rhino,93.03480736821072
parkour,271.0052540985827
kid-football,216.16050292115548
mallard-fly,219.9306614155234
bus,82.29424530319163
rallye,263.2594462022962
car-roundabout,110.9045010200114
dogs-jump,297.5379924459746
stroller,205.38501231265946
tractor-sand,173.76587054072962
dog,191.90732596741043
sheep,146.5118406573936
horsejump-high,199.45236948274345
