videoid,fid_value
scooter-board,283.5409029528958
color-run,448.2778634838208
kite-walk,208.88789251236972
dog-gooses,399.507089958557
goat,248.2988218341957
walking,366.95463041345386
dance-jump,304.0693033645485
lady-running,274.38869596879897
hockey,166.0921437814299
snowboard,86.07606482641886
flamingo,63.54031999187583
dance-twirl,186.09171558363454
stunt,197.32275299101104
classic-car,214.7924331802359
hike,196.76058844266495
gold-fish,82.35674159263401
horsejump-low,209.39574835032886
tuk-tuk,388.3821580734239
paragliding-launch,246.38416240077373
cows,112.33442581576914
soapbox,277.5940014861235
lindy-hop,199.3159526514922
upside-down,309.4562175219395
skate-park,258.5010689985122
car-turn,123.05664603754828
pigs,112.99976553314738
disc-jockey,335.55889587390556
train,202.2002228468049
lucia,295.851755301755
breakdance-flare,303.2419900595769
mallard-water,183.07006045175854
breakdance,259.50121414163874
loading,197.5009335787261
bmx-bumps,209.33100594756758
longboard,299.3591824413651
miami-surf,226.99854115487048
schoolgirls,327.71210738177535
blackswan,105.54493169412967
dancing,250.17911629986935
paragliding,119.22295891550796
drone,413.64234443942985
camel,47.75933588398648
bmx-trees,215.2925604311653
cat-girl,423.4342892248705
drift-straight,235.61640285465214
bear,87.80302430181379
mbike-trick,124.86544099276023
motocross-bumps,138.43551307291202
drift-chicane,249.2308380398264
boat,93.76726367077696
surf,165.2667884892718
bike-packing,194.6061387734798
dogs-scale,317.85307358370983
swing,160.66372095008578
scooter-gray,181.93723901208563
libby,327.2128379822446
kite-surf,141.23071924770198
drift-turn,242.78612840685602
varanus-cage,400.05290796697363
tennis,130.58485081711194
elephant,70.30330736346534
india,190.67586753352873
crossing,270.9765694777158
boxing-fisheye,148.19835702740713
koala,190.57266368040808
rhino,89.80542198624167
parkour,288.222245015284
kid-football,265.7607645887529
mallard-fly,276.49924299708664
bus,208.08723877085845
rallye,265.69168067203026
car-roundabout,149.888462110799
dogs-jump,314.3896841833065
stroller,258.97705912106505
tractor-sand,223.4161671197174
dog,311.26348126601016
sheep,152.75296447998656
horsejump-high,249.63662772062725
