videoid,fid_value
scooter-board,266.5846759081143
color-run,365.64650029061676
kite-walk,228.80976292310064
dog-gooses,336.13434001806576
goat,215.20831069407302
walking,206.93721435718916
dance-jump,214.3680257958286
lady-running,218.76930739681592
hockey,205.12012843578515
snowboard,194.7766238172496
flamingo,118.6864708316902
dance-twirl,310.1531695491003
stunt,203.5335421781796
classic-car,276.96668689465525
hike,92.41672172050657
gold-fish,71.85897529161471
horsejump-low,256.5941757312097
tuk-tuk,288.9392240228507
paragliding-launch,231.55080750234248
cows,143.7252258493762
soapbox,252.96503436891192
lindy-hop,119.54835557556811
upside-down,212.38228879581956
skate-park,141.36985103895492
car-turn,159.45063304304716
pigs,173.24754486907153
disc-jockey,161.01852775006674
train,268.8764289136805
lucia,275.2237370988547
breakdance-flare,278.8597740570924
mallard-water,101.31138298440509
breakdance,211.96796715880077
loading,266.5523332874922
bmx-bumps,230.16585029840752
longboard,265.54805654701727
miami-surf,198.4968410190129
schoolgirls,215.873800306259
blackswan,46.29175053768229
dancing,210.56988671719154
paragliding,110.58046372800192
drone,309.16494282392256
camel,235.81036628136087
bmx-trees,228.82022275187808
cat-girl,413.6726718017334
drift-straight,231.51024270824672
bear,132.9020702874593
mbike-trick,199.96223758249465
motocross-bumps,299.85521176678736
drift-chicane,202.40971491366162
boat,67.22416035162618
surf,76.45442161544285
bike-packing,300.10634141907246
dogs-scale,270.9094398574198
swing,298.2723964153298
scooter-gray,227.12091003086118
libby,362.8602847420305
kite-surf,112.76559845340662
drift-turn,303.4308323386522
varanus-cage,350.04479947054296
tennis,225.76857890818815
elephant,120.92410756294018
india,216.37613993495876
crossing,153.55916384538267
boxing-fisheye,138.46866967106268
koala,150.60388464066946
rhino,213.81855968969717
parkour,322.054191929016
kid-football,337.8258411679206
mallard-fly,167.08468775025224
bus,492.51683112571675
rallye,287.2862833091046
car-roundabout,218.3161594193141
dogs-jump,366.789507137723
stroller,311.8903501041255
tractor-sand,189.94956731937404
dog,253.5508610281512
sheep,143.84219334383707
horsejump-high,301.7993441232743
