videoid,fid_value
scooter-board,356.05767505798786
color-run,350.66740517134787
kite-walk,108.66866855330548
dog-gooses,328.83005502102407
goat,215.1647547602421
walking,236.92983413528955
dance-jump,238.76898950695883
lady-running,207.8659557602856
hockey,154.1927559731184
snowboard,85.38414496761786
flamingo,96.85445666076838
dance-twirl,192.8257218333086
stunt,168.8647489189807
classic-car,213.8325933724241
hike,81.99906382485118
gold-fish,75.10468316975114
horsejump-low,144.28756916408173
tuk-tuk,292.74161633023436
paragliding-launch,162.46621554696793
cows,50.50786238969481
soapbox,167.45043199634213
lindy-hop,144.9163846467704
upside-down,188.5949716863903
skate-park,114.08062213100199
car-turn,143.23589510237835
pigs,84.70035362779518
disc-jockey,243.188704944726
train,191.8906808342385
lucia,253.25056359482892
breakdance-flare,283.80169674388605
mallard-water,89.17672389047942
breakdance,194.2334049244838
loading,203.78485209641943
bmx-bumps,157.74748824260058
longboard,254.2260793398843
miami-surf,166.52595317514778
schoolgirls,188.9421800574306
blackswan,38.13951781361973
dancing,196.74619466445088
paragliding,96.73808351969741
drone,311.74803677791647
camel,40.48569129785155
bmx-trees,313.1914375948951
cat-girl,328.3814794641167
drift-straight,248.44074629485735
bear,42.95259029147279
mbike-trick,172.64881742423938
motocross-bumps,194.45485277724237
drift-chicane,234.0846821899659
boat,106.01515236815453
surf,112.6784990858367
bike-packing,169.6002777529354
dogs-scale,272.1074840461208
swing,109.07805363313958
scooter-gray,229.63614141811718
libby,334.2311133695364
kite-surf,105.70751275800886
drift-turn,249.26894329312677
varanus-cage,348.5675748782279
tennis,123.69071440912587
elephant,50.422212654405044
india,209.7069410978033
crossing,154.70122351890342
boxing-fisheye,106.18531689575661
koala,171.59317241132837
rhino,59.698376578372155
parkour,286.5975146113595
kid-football,195.54516706764065
mallard-fly,220.85108068390946
bus,46.46502044844872
rallye,248.16298150205333
car-roundabout,109.33230512111408
dogs-jump,326.35202156214643
stroller,266.15809714420084
tractor-sand,171.76759836725034
dog,194.40766197712878
sheep,105.94100034189445
horsejump-high,244.88685354054087
