videoid,fid_value
kite-walk,69.38695695449917
dog-gooses,341.6503668845278
goat,208.29899854912844
dance-jump,178.87302835795975
snowboard,196.3471425125797
flamingo,60.84046378049572
dance-twirl,145.04534262245994
stunt,231.76087939753825
classic-car,163.2754406282486
hike,82.898780966824
gold-fish,44.469706311104865
horsejump-low,159.80523262859964
tuk-tuk,234.72159489017417
paragliding-launch,160.75626640212346
cows,50.31974488057178
soapbox,227.72882351843302
upside-down,187.62947236178118
car-turn,109.09713733364904
pigs,76.88908322518722
train,235.30357877406462
lucia,174.69512703807493
breakdance-flare,299.1537808840645
mallard-water,71.1595667786654
breakdance,256.60672901304395
loading,211.63026891813854
schoolgirls,228.65099074866947
blackswan,31.846644931110912
dancing,193.7437896894619
paragliding,51.92390244373439
camel,28.904494615830565
bmx-trees,141.37919486836654
cat-girl,331.86061868656805
drift-straight,247.6774216603169
bear,101.21763297885546
mbike-trick,163.77305599428135
motocross-bumps,293.1842862407206
drift-chicane,204.24903618504703
boat,55.57498309590238
bike-packing,138.3399404903729
swing,190.193072293829
scooter-gray,165.022462798891
libby,244.90601527517902
drift-turn,428.0543916629182
varanus-cage,377.9720577739141
tennis,151.67421227439203
elephant,45.26133781923484
crossing,85.52516312467495
boxing-fisheye,301.5547064266147
koala,142.22912127538157
rhino,94.68080797425193
parkour,314.1898319110216
mallard-fly,174.1253264499551
bus,40.94171543579874
rallye,277.059682294395
car-roundabout,102.86079930299933
dogs-jump,359.6034859226444
stroller,214.70867333105406
tractor-sand,228.04436941065472
dog,176.7991211067157
sheep,139.98470616919624
horsejump-high,174.82637702475455
