videoid,fid_value
scooter-board,215.33801894794078
color-run,358.34325956115174
kite-walk,58.51593084731817
dog-gooses,210.20214362433236
goat,124.8778081756125
walking,182.68393126460992
dance-jump,180.39893839563658
lady-running,172.2133409795725
hockey,114.52314162318771
snowboard,111.70968359983428
flamingo,43.993056658814545
dance-twirl,155.8174152590282
stunt,98.06893670714737
classic-car,150.53874154459055
hike,35.390928876383
gold-fish,48.34523879557793
horsejump-low,139.6824878652719
tuk-tuk,278.0825345617715
paragliding-launch,142.1865659708689
cows,39.74298958022792
soapbox,83.82427487898053
lindy-hop,116.30425360695409
upside-down,192.5583314892387
skate-park,99.84203356588199
car-turn,54.87177096037817
pigs,62.15992090511486
disc-jockey,159.8353367035469
train,130.43266621934166
lucia,148.38517124839885
breakdance-flare,189.20075630444478
mallard-water,66.62400896689077
breakdance,141.3638107435702
loading,144.8850703064138
bmx-bumps,151.15538038310945
longboard,236.7748207314645
miami-surf,140.80329516995286
schoolgirls,120.97330625343204
blackswan,22.13140153519912
dancing,167.00549012266168
paragliding,42.40452573592928
drone,324.2548356213041
camel,17.61459572534853
bmx-trees,141.85302733393286
cat-girl,283.10136796279915
drift-straight,161.96845713558204
bear,37.15833369727199
mbike-trick,123.06096991540157
motocross-bumps,106.44163086464472
drift-chicane,119.80649724375837
boat,39.79410829156413
surf,291.0438162813834
bike-packing,135.21901656951772
dogs-scale,175.04783184867307
swing,96.81709876979889
scooter-gray,59.6140788581795
libby,229.40372877818575
kite-surf,80.65833321430722
drift-turn,198.2938700990316
varanus-cage,280.3756465554303
tennis,164.63944418719913
elephant,39.29659986496698
india,188.34014588225114
crossing,85.14214419461129
boxing-fisheye,86.55559457896274
koala,142.69571392000807
rhino,58.300336476732426
parkour,204.25475862636114
kid-football,131.9918521333057
mallard-fly,173.67579047753514
bus,82.08334650446348
rallye,104.89904533609104
car-roundabout,134.7610207792384
dogs-jump,256.4110775298835
stroller,149.20583577797748
tractor-sand,149.23201388131037
dog,178.76812551103973
sheep,81.10427233152203
horsejump-high,161.96240598750853
