videoid,fid_value
scooter-board,223.0017923083019
color-run,314.04500911928585
kite-walk,50.17962740434507
dog-gooses,176.57424807345154
goat,132.1364480503592
walking,184.62775570457003
dance-jump,181.52524695241112
lady-running,159.06027210669635
hockey,77.25662358116101
snowboard,72.00857113213779
flamingo,54.50650270491387
dance-twirl,125.67832749926212
stunt,150.7207279275295
classic-car,142.2583644664151
hike,29.13003944956006
gold-fish,55.06243717099004
horsejump-low,129.33434051894267
tuk-tuk,162.78255857907757
paragliding-launch,143.40894408458976
cows,37.48882482831291
soapbox,117.10758637258684
lindy-hop,102.71442133051715
upside-down,145.6639359623362
skate-park,65.18898379866988
car-turn,61.21304521631841
pigs,64.27723446136602
disc-jockey,138.15003081183013
train,100.14266430668101
lucia,193.116908465478
breakdance-flare,239.08090824433708
mallard-water,82.7092714065594
breakdance,164.1191152323068
loading,149.52753834604817
bmx-bumps,150.60916383788356
longboard,163.42171041950417
miami-surf,122.93555533575557
schoolgirls,78.78236949436547
blackswan,23.200501334182583
dancing,175.40152075882813
paragliding,42.64080807258815
drone,244.43899411873332
camel,28.722781993442474
bmx-trees,140.79515510266998
cat-girl,271.99531669631153
drift-straight,92.78847385386135
bear,44.18983833869015
mbike-trick,103.35942464560988
motocross-bumps,109.52498915424817
drift-chicane,115.8761004164074
boat,34.602924563831856
surf,51.56341123622822
bike-packing,125.11986792074693
dogs-scale,199.0743596691325
swing,89.53979682829933
scooter-gray,49.492397627420615
libby,236.07585548681473
kite-surf,122.01612420726264
drift-turn,109.80153346514956
varanus-cage,276.37035899927304
tennis,67.11023798759683
elephant,25.627457025131214
india,166.01043460471217
crossing,55.59572712477773
boxing-fisheye,83.51802459427904
koala,194.59679625345103
rhino,41.87928107170758
parkour,192.21697119094523
kid-football,136.15964422143253
mallard-fly,173.10897106533204
bus,26.760210019621155
rallye,128.52173279972882
car-roundabout,78.7736739642619
dogs-jump,289.07231072206594
stroller,175.0996335243449
tractor-sand,128.50070508730542
dog,130.42977682577083
sheep,75.06608470744199
horsejump-high,149.47131940963249
